Судна для буксіроўкі воднолыжников|катэр
Сукна, што атачаюць партальную арку сцэны|арлекін
Сукно са стаялым ворсам|бабёрык
Сукаватае дрэва, патанулае ў вадзе|карчак
Сукаваты кавалак зваленага, падгнілога дрэва|карчак
Суконны ці ваўняны востраканцовы каптур з доўгімі канцамі, напрананы па-над галаўным уборам|башлык
Сулица, кідальная зброя|дроцік
Султан (998–1030), вядомы прадстаўнік Газневидов|Махмуд
Султанат у Азіі|Аман
Султанат, чый кіраўнік славіцца самым багатым чалавекам у свеце|Бруней
Султанский указ|фирман
Якая абяцае гора, у скандынаўскай міфалогіі волатка|ангрбода
Торба – орган размнажэння ў грыбоў|аск
Торба для стрэл|калчан
Торба ці пояс для патронаў?|патранташ
Сума пачатковых кінэтычных энергій усіх зараджаных часціц у рэчыве|керма
Сума агульнай запазычанасці па вэксалях|облиго
Сума, спаганяная са службовай асобы за неправамерныя дзеянні|налік
Сума, выдаўшы. загадзя; шлях карабля за адзін зварот шрубы|аванс
Сума, выдаўшы. загадзя|аванс
Сума, якая выплачваецца адразу пры зняволенні ўгоды ў рахунак належных плацяжоў?|задатак
Сума, якую ставіць удзельнік гульні на грошы|стаўка
Сума, на якую паніжана кошт|зніжка
Сумчатое жывёла|вомбат
Сумчатое жывёла|кузу
Сумчатое жывёла|кускус
Сумчатые грыбы|аск
Сумчатый грыб|аскаміцэт
Сумчатый мядзведзь, аматар эўкаліптаў|каала
Сумчатый мурашкаед|намбат
Куфар з аддзяленнямі|куфар
Куфэрак для розных патрэб?|куфар
Куфэрак, у якім захоўваецца смерць Кашчэя Несмяротнага|куфар
Суп з бараніны і рысу?|харчо
Суп з грудзінкі, звараны з рысам, таматам, з вострымі заправамі|харчо
Суп з гусінай, свіной крыві са свекольн. расолам і салёнымі агуркамі|юшник
Суп з капусты|капуста
Суп з рыбы; волога|юха
Суп з рыбы|юха
Суп са свежай рыбы|юха
Суп з бураком і іншай гароднінай|бацвінне
Суп, які немагчыма ёсць|бурда
Суп, засыпаемый такімі вырабамі|локшына
Супер “міні-маркет”?|ларок
Супер-Маўглі (киношн.)|Тарзан
Супергоночная машына?|балід
Суперзвезда сусветнага кіно, які выкраў сэрца чароўнай Роми Шнайдер|Делон
Суперлетчик|ас
Суперплаток|шаль
Суперревнивец (шекспировск.)|Атэла
Суперхіт П. Макартні|учора
Супная плеўка|шумавінне
Супастат Цімура і яго каманды?|Квакин
Муж Айседоры Дункан?|Ясенін
Муж Галіны Брежневой, цыркач|Кио
Мужа Карася|одарка
Мужа Юпітара ў інш. рымлян|Юнона
Мужа Юпітара?|Юнона
Мужа вярхоўнага бога Глею ў старажытных семітаў|Асират
Мужа ўсходняга кіраўніка|шахіня
Жонка па-ўкраінску|жинка
Мужа птушкі, якая славіцца сваім цудоўным хвастом?|пава
Мужы Гілбрэт, даследуючы арганізацыю працы, падзялілі аперацыі, выкананыя працоўнымі, на некалькі элементарных рухаў. Як яны завуцца?|терблиги
Шлюбная сувязь|шлюб
Шлюбнае навучанне|рогі
Шлюб?|шлюб
Суровая сістэма выхавання ваеннага навучання, уведзеная Паўлам I|муштра
Суровы бой вядзе лёдавая лютва. Мы верым мужнасці адчайных хлопцаў. Чым яны заняты|хакей
Сурагат грашовага знака|купон
Сурагат каучуку|фактыс
Сусла вышэйшай якасці|кюве
Суспензія графіту ў вадзе, якой пакрываюць унутраную паверхню электронна-прамянёвай трубкі|аквадаг
Сустаў на назе|калена
Сустаў, які злучае сцегнавую і галёначную косткі|калена
Сустаўнай канец трубчастай косткі|эпіфіз
Сутачны прыпынак на адпачынак падчас працяглага паходу|днёўка
Сутачная пайка|рацыён
Сутнасць анекдота|соль
Сутнасць уступных іспытаў|адсеў
Суфлеобразная саладосць|зефір
Сухая галінка дрэва|сук
Сухі высакагорны стэп|пуна
Сухая скарыначка, што ўтвараецца на загойвальнай ране, ранцы|струп
Сухая трава|сена
Сухія рэчышчы, мёртвыя даліны ў пустэльнях Сярэдняй Азіі|узбой
Сухая садавіна з абрыкосаў|кайса
Сухая садавіна з вінаграда|разынкі
Сухое чырвонае віно|кларет
Сухое печыва з прэснага цеста|галета
Сухое печыва|крекер
Сухое рэчышча|узбой
Сухі вецер у пустэльнях Афрыкі|самум
Сухі прыплод скаціны, які ўжываецца як паліва ў бязлесных мясцовасцях Азіі|аргал
Сухі трапічны вецер|пасат
Сухая смуга|імга
Сухі, гарачы, звычайна паўднёвы вецер на паўночным усходзе Афрыкі (Егіпет, Ліван і інш.). Дзьме ўвесну, нясе шмат пылу і пяску|хамсин
Сухі, гарачы вецер пустэльняў, які налятае шквалам і ўтваралы пяшчаныя віхуры|самум
Сухапутнае званне, што адпавядае капітану 3 рангу вмф|маёр
Сухапутныя шляхі?|дарогі
Сухапутны спартовы ветразнік на каньках, лыжах, колах?|буер
Сухафрукт з абрыкоса|урук
Сухафрукт|разынкі
Суша ў супрацьлегласць воднай ці паветранай прасторы|зямля
Суша, омываемая Байкалам|ольхон
Сушоныя абрыкосы ці персікі без костачак|кайса
Сушоныя абрыкосы?|урук
Сушоныя палоўкі абрыкоса без костачак|курага
Сушоныя разрэзаныя абрыкосы без костачак|курага
Сушоныя разрэзаныя напалову абрыкосы без костачак|курага
Сушоны вінаград безнасенных гатункаў|сабза
Сушоны кішміш|сабза
Сушитель з цырульні?|фен
Істотная акалічнасць у якім-небудзь працэсе?|фактар
Істотная акалічнасць у якім-небудзь працэсе, з'яве|фактар
Істота ў “Wаrсrаft”|орк
Істота ў еўрапейскай міфалогіі|гном
Істота велічэзных памераў|гігант
Існавалае да канца ХIХ стагоддзі баявая пабудова пяхоты чатырохкутнікам для адлюстравання нападаў з усіх бакоў|карэ
Існавалі 4 смяротных граху, за якія будыйскага манаха маглі выгнаць з абшчыны: ганарыстасць, крадзеж, забойства. А які самы страшны грэх?|сувязь з жанчынай
Існаванне аднаго і таго ж хімічнага элемента ў выглядзе дзвюх ці некалькіх простых рэчываў?|алатрапія
Існаванне аднаго і таго ж хімічнага элемента ў выглядзе некалькіх простых рэчываў|алатрапія
Існаванне асобна ад іншых, незалежна|самастойнасць
Існуе даволі шмат помнікаў жывёлам – жабам, жукам, матылькам, малі, коткам... І ўсё ж, якой жывёле часцей за ўсё ставяцца помнікі?|hоmо sарiеns
Ці існуе краіна з рэспубліканскім дзяржаўным кіраваннем, именуящаяся, аднак, княствам, і пры гэтым за ўсю гісторыю не мелая ніводнага сапраўднага князя?|Андора
Існуе меркаванне, што распаўсюду відэльца ў Еўропе дапамаглі некаторыя асаблівасці моды ХVI стагоддзі. А якія?|каўняры-жораны
Існуе меркаванне, што гэты прадмет карыстаецца сваёй шмат у чым незаслужанай славай з-за формы – маўляў, ён чымсьці падобны на малюнак німба над галавой святога. Што гэта за прадмет?|падкова
Існуе наступны анекдот. “– На майго мужа жанчыны заўсёды глядзяць, разявіўшы рот.” “– Ён прыгажун?” “– Не, ён...” Хто ён?|зубны лекар
Існуе пакуту, чыннік пакуты, вызваленне ад пакуты і шлях да вызвалення. Як звычайна завуць гэты шлях?|будызм
Існуе шэсць сямействаў паўмалп: тупайи, долгопяты, лемуры, руконожки, лоры. Якое прапушчана?|индри
Існуюць легенды пра ЯГО суровае пакаранне пры Калігуле ці Нероне, спасылцы ў Галію. А вось копцкая царква ЯГО паважае. А якім па рахунку, як прынята лічыць, ён быў?|пятым
