Старадаўні рукапісны шрыфт|вязьмо
Сцябло вінаграда|лаза
Сцябло і лісце раслін карняплодаў і клубняплодаў, бабовых|бацвінне
Сцябло расліны ў самым пачатку развіцця|парастак
Сцябло, галінка павойнай, паўзучай расліны, які сцелецца па зямлі ўцёкі|пуга
Сцеблы травы, што застаюцца пасля малацьбы|салома
Сцебламі гэтай травы, у адпаведнасці з адным з рэцэптаў для пахудання, б'юць па целе “які растлусцеў” пацыента|бамбук
Стеганая зімовая куртка|ватоўка
Стеганая куртка?|ватоўка
Сцяканне з дахаў які растае снега|капеж
Шкло ў хаце|акно
Сцякло што перабольшваюць рэчаіснасць|лупа
Шклопадобнае аплаўленае пакрыццё на кераміцы?|глазура
Стеклокристаллический матэрыял|ситалл
Шкляная каштоўнасць|страз
Шкляная ёмістасць для нарыхтовак на зіму|бутля
Шкляное ці бляшанае пакаванне; выспа ў Азіі; водмель|слоік
Шкляная ці з інш. празрыстага матэрыялу дэталь для пераўтварэння светлавога пучка з сапраўды апрацаванымі выпуклымі ці ўвагнутымі паверхнямі|лінза
Шкляная імітацыя каштоўнага каменя, страз|амаузе
Шкляныя пясочныя гадзіны?|склянка
Шкляны прасвет у даху|ліхтар
Шкляная пасудзіна, шаровидный з высокім горлам ці канічны|колба
Шкляная пасудзіна?|ампула
Шкляная шкляначка з прыцёртым вечкам|бюкса
Шкляны, металический пасудзіна|слоік
Гута (устар.)|гута
Якое сцелецца ці мелае прамыя сцеблы споравая расліна без каранёў і кветак|мох
Што сцелецца балотны хмызняк|журавіны
Які сцелецца па зямлі ўцёкі|пуга
Што сцелецца па зямлі нашчадак найстаражытных на нашай планеце дрэў|дзераза
Сцяна, рашотка і т. п., якімі абнесены які-небудзь участак зямлі|агароджа
Сценка над які вянчае арку карнізам з рэльефамі і надпісамі|атык
Сценка над што вянчае архітэктурнае збудаванне карнізам|атык
Сценка над карнізам архітэктурнага збудавання|атык
Сценка над карнізам, якія вянчаюць архітэктурнае збудаванне|атык
Сценка, збудаваная над што вянчае архітэктурнае збудаванне карнізам?|атык
Сценка, размешчаная над карнізам, якія вянчаюць збудаванне|атык
Сцянны жывапіс вадзянымі фарбамі па сухой тынкоўцы|альсекко
Сцянны жывапіс на сухой тынкоўцы|асекко
Сцянны жывапіс па волкай тынкоўцы|альфреско
Сценабітная прылада|таран
Сценавае пакрыццё (дрэва, пластык, афарбоўка)|панэль
Ступень шпаркасці ў выкананні якой-небудзь справы|тэмп
Ступень шпаркасці выканання музычнага твора|тэмп
Ступень дабраякаснасці, гатунак|разбор
Ступень жыццядзейнасці арганізма|тонус
Ступень жыццядзейнасці, жыццёвай актыўнасці|тонус
Ступень сталасці плёну, збожжа|наліў
Ступень кваліфікацыі ў якой-небудзь прафесіі|разрад
Ступень адкормленасці жывёл|напас
Ступень адкормленасці скаціны|напас
Ступень адрознення?|ранг
Ступень выразнасці ў вымаўленні слоў|дыкцыя
Ступень выразнасці вымаўлення|дыкцыя
Ступень развіцця, велічыня, маштаб якой-небудзь з'явы|памер
Ступень сваяцтва, уласцівасці|дзядзька
Ступень сваяцтва, уласцівасці|кум
Ступень сваяцтва, уласцівасці|нявестка
Ступень сваяцтва|швагер
Ступень уласцівасці|кум
Ступень выразнасці гаворкі, гутаркі|дыкцыя
Ступень, клас|ранг
Ступень, афіцыйна зацверджаны ўзровень кваліфікацыі ў прафесіі|разрад
Стэпавая дарога на поўдні Расіі, на Ўкраіне|шлях
Стэпавая зебра, знішчаная ў ХIХ ст.|квагга
Стэпавая лісіца|карсак
Стэпавая раўніна ў Паўночнай Амерыцы|прэрыя
Стэпавая трава|емшан
Стэпавая яшчарка; травы. расліна|жминда
Стэпавая яшчарка|жминда
Стэпавае парнакапытнае млекопитающее|сайгак
